Passport,Destination,Requirement
AFG,ALB,visa required
AFG,DZA,visa required
AFG,AND,visa required
AFG,AGO,visa on arrival
AFG,ATG,e-visa
AFG,ARG,visa required
AFG,ARM,visa required
AFG,AUS,e-visa
AFG,AUT,visa required
AFG,AZE,covid ban
AFG,BHS,visa required
AFG,BHR,visa required
AFG,BGD,visa on arrival
AFG,BRB,visa required
AFG,BLR,visa required
AFG,BEL,visa required
AFG,BLZ,visa required
AFG,BEN,e-visa
AFG,BTN,visa required
AFG,BOL,visa on arrival
AFG,BIH,visa required
AFG,BWA,visa required
AFG,BRA,visa required
AFG,BRN,visa required
AFG,BGR,visa required
AFG,BFA,visa required
AFG,BDI,visa required
AFG,KHM,visa on arrival
AFG,CMR,visa required
AFG,CAN,visa required
AFG,CPV,visa on arrival
AFG,CAF,visa required
AFG,TCD,visa required
AFG,CHL,visa required
AFG,CHN,visa required
AFG,COL,e-visa
AFG,COM,visa on arrival
AFG,COG,visa required
AFG,COD,visa required
AFG,CRI,visa required
AFG,CIV,e-visa
AFG,HRV,visa required
AFG,CUB,visa required
AFG,CYP,visa required
AFG,CZE,visa required
AFG,DNK,visa required
AFG,DJI,e-visa
AFG,DMA,visa required
AFG,DOM,visa required
AFG,ECU,visa required
AFG,EGY,visa required
AFG,SLV,visa required
AFG,GNQ,visa required
AFG,ERI,visa required
AFG,EST,visa required
AFG,SWZ,visa required
AFG,ETH,e-visa
AFG,FJI,visa required
AFG,FIN,visa required
AFG,FRA,visa required
AFG,GAB,e-visa
AFG,GMB,visa required
AFG,GEO,visa required
AFG,DEU,visa required
AFG,GHA,visa required
AFG,GRC,visa required
AFG,GRD,visa required
AFG,GTM,visa required
AFG,GIN,e-visa
AFG,GNB,visa on arrival
AFG,GUY,visa required
AFG,HTI,90
AFG,HND,visa required
AFG,HKG,visa required
AFG,HUN,visa required
AFG,ISL,visa required
AFG,IND,visa required
AFG,IDN,visa required
AFG,IRN,visa required
AFG,IRQ,visa required
AFG,IRL,visa required
AFG,ISR,visa required
AFG,ITA,visa required
AFG,JAM,visa required
AFG,JPN,visa required
AFG,JOR,visa required
AFG,KAZ,visa required
AFG,KEN,visa required
AFG,KIR,visa required
AFG,XKX,visa required
AFG,KWT,visa required
AFG,KGZ,e-visa
AFG,LAO,visa required
AFG,LVA,visa required
AFG,LBN,visa required
AFG,LSO,e-visa
AFG,LBR,visa required
AFG,LBY,visa required
AFG,LIE,visa required
AFG,LTU,visa required
AFG,LUX,visa required
AFG,MAC,visa required
AFG,MDG,visa on arrival
AFG,MWI,e-visa
AFG,MYS,visa required
AFG,MDV,visa required
AFG,MLI,visa required
AFG,MLT,visa required
AFG,MHL,visa required
AFG,MRT,visa on arrival
AFG,MUS,visa required
AFG,MEX,visa required
AFG,FSM,30
AFG,MDA,e-visa
AFG,MCO,visa required
AFG,MNG,visa required
AFG,MNE,visa required
AFG,MAR,visa required
AFG,MOZ,visa on arrival
AFG,MMR,visa required
AFG,NAM,visa required
AFG,NRU,visa required
AFG,NPL,visa required
AFG,NLD,visa required
AFG,NZL,visa required
AFG,NIC,visa required
AFG,NER,visa required
AFG,NGA,visa on arrival
AFG,PRK,visa required
AFG,MKD,visa required
AFG,NOR,visa required
AFG,OMN,visa required
AFG,PAK,visa required
AFG,PLW,visa on arrival
AFG,PSE,visa required
AFG,PAN,visa required
AFG,PNG,visa required
AFG,PRY,visa required
AFG,PER,visa required
AFG,PHL,visa required
AFG,POL,visa required
AFG,PRT,visa required
AFG,QAT,e-visa
AFG,ROU,visa required
AFG,RUS,visa required
AFG,RWA,visa on arrival
AFG,KNA,e-visa
AFG,LCA,visa required
AFG,WSM,visa on arrival
AFG,SMR,visa required
AFG,STP,e-visa
AFG,SAU,visa required
AFG,SEN,visa on arrival
AFG,SRB,visa required
AFG,SYC,90
AFG,SLE,visa required
AFG,SGP,e-visa
AFG,SVK,visa required
AFG,SVN,visa required
AFG,SLB,visa required
AFG,SOM,visa on arrival
AFG,ZAF,visa required
AFG,KOR,visa required
AFG,SSD,visa required
AFG,ESP,visa required
AFG,LKA,visa required
AFG,VCT,30
AFG,SDN,visa required
AFG,SUR,e-visa
AFG,SWE,visa required
AFG,CHE,visa required
AFG,SYR,visa required
AFG,TWN,visa required
AFG,TJK,e-visa
AFG,TZA,e-visa
AFG,THA,visa required
AFG,TLS,visa required
AFG,TGO,visa on arrival
AFG,TON,visa required
AFG,TTO,visa required
AFG,TUN,visa required
AFG,TKM,visa required
AFG,TUV,visa on arrival
AFG,TUR,visa required
AFG,UGA,visa on arrival
AFG,UKR,visa required
AFG,ARE,e-visa
AFG,GBR,visa required
AFG,USA,visa required
AFG,URY,visa required
AFG,UZB,e-visa
AFG,VUT,visa required
AFG,VAT,visa required
AFG,VEN,visa required
AFG,VNM,visa required
AFG,YEM,visa required
AFG,ZMB,e-visa
AFG,ZWE,e-visa
AFG,AFG,-1
ALB,ALB,-1
ALB,DZA,visa required
ALB,AND,90
ALB,AGO,visa on arrival
ALB,ATG,180
ALB,ARG,visa required
ALB,ARM,visa required
ALB,AUS,e-visa
ALB,AUT,90
ALB,AZE,covid ban
ALB,BHS,visa required
ALB,BHR,visa required
ALB,BGD,visa on arrival
ALB,BRB,28
ALB,BLR,30
ALB,BEL,90
ALB,BLZ,visa required
ALB,BEN,e-visa
ALB,BTN,visa required
ALB,BOL,visa on arrival
ALB,BIH,visa required
ALB,BWA,visa required
ALB,BRA,visa required
ALB,BRN,visa required
ALB,BGR,90
ALB,BFA,visa required
ALB,BDI,visa required
ALB,KHM,visa on arrival
ALB,CMR,visa required
ALB,CAN,visa required
ALB,CPV,visa on arrival
ALB,CAF,visa required
ALB,TCD,visa required
ALB,CHL,visa required
ALB,CHN,visa required
ALB,COL,visa required
ALB,COM,visa on arrival
ALB,COG,visa required
ALB,COD,visa required
ALB,CRI,visa required
ALB,CIV,e-visa
ALB,HRV,90
ALB,CUB,visa required
ALB,CYP,90
ALB,CZE,90
ALB,DNK,90
ALB,DJI,e-visa
ALB,DMA,visa required
ALB,DOM,visa required
ALB,ECU,90
ALB,EGY,visa on arrival
ALB,SLV,90
ALB,GNQ,visa required
ALB,ERI,visa required
ALB,EST,90
ALB,SWZ,visa required
ALB,ETH,e-visa
ALB,FJI,visa required
ALB,FIN,90
ALB,FRA,90
ALB,GAB,e-visa
ALB,GMB,90
