Passport,Destination,Requirement
Afghanistan,Albania,visa required
Afghanistan,Algeria,visa required
Afghanistan,Andorra,visa required
Afghanistan,Angola,visa on arrival
Afghanistan,Antigua and Barbuda,e-visa
Afghanistan,Argentina,visa required
Afghanistan,Armenia,visa required
Afghanistan,Australia,e-visa
Afghanistan,Austria,visa required
Afghanistan,Azerbaijan,covid ban
Afghanistan,Bahamas,visa required
Afghanistan,Bahrain,visa required
Afghanistan,Bangladesh,visa on arrival
Afghanistan,Barbados,visa required
Afghanistan,Belarus,visa required
Afghanistan,Belgium,visa required
Afghanistan,Belize,visa required
Afghanistan,Benin,e-visa
Afghanistan,Bhutan,visa required
Afghanistan,Bolivia,visa on arrival
Afghanistan,Bosnia and Herzegovina,visa required
Afghanistan,Botswana,visa required
Afghanistan,Brazil,visa required
Afghanistan,Brunei,visa required
Afghanistan,Bulgaria,visa required
Afghanistan,Burkina Faso,visa required
Afghanistan,Burundi,visa required
Afghanistan,Cambodia,visa on arrival
Afghanistan,Cameroon,visa required
Afghanistan,Canada,visa required
Afghanistan,Cape Verde,visa on arrival
Afghanistan,Central African Republic,visa required
Afghanistan,Chad,visa required
Afghanistan,Chile,visa required
Afghanistan,China,visa required
Afghanistan,Colombia,e-visa
Afghanistan,Comoros,visa on arrival
Afghanistan,Congo,visa required
Afghanistan,DR Congo,visa required
Afghanistan,Costa Rica,visa required
Afghanistan,Ivory Coast,e-visa
Afghanistan,Croatia,visa required
Afghanistan,Cuba,visa required
Afghanistan,Cyprus,visa required
Afghanistan,Czech Republic,visa required
Afghanistan,Denmark,visa required
Afghanistan,Djibouti,e-visa
Afghanistan,Dominica,visa required
Afghanistan,Dominican Republic,visa required
Afghanistan,Ecuador,visa required
Afghanistan,Egypt,visa required
Afghanistan,El Salvador,visa required
Afghanistan,Equatorial Guinea,visa required
Afghanistan,Eritrea,visa required
Afghanistan,Estonia,visa required
Afghanistan,Swaziland,visa required
Afghanistan,Ethiopia,e-visa
Afghanistan,Fiji,visa required
Afghanistan,Finland,visa required
Afghanistan,France,visa required
Afghanistan,Gabon,e-visa
Afghanistan,Gambia,visa required
Afghanistan,Georgia,visa required
Afghanistan,Germany,visa required
Afghanistan,Ghana,visa required
Afghanistan,Greece,visa required
Afghanistan,Grenada,visa required
Afghanistan,Guatemala,visa required
Afghanistan,Guinea,e-visa
Afghanistan,Guinea-Bissau,visa on arrival
Afghanistan,Guyana,visa required
Afghanistan,Haiti,90
Afghanistan,Honduras,visa required
Afghanistan,Hong Kong,visa required
Afghanistan,Hungary,visa required
Afghanistan,Iceland,visa required
Afghanistan,India,visa required
Afghanistan,Indonesia,visa required
Afghanistan,Iran,visa required
Afghanistan,Iraq,visa required
Afghanistan,Ireland,visa required
Afghanistan,Israel,visa required
Afghanistan,Italy,visa required
Afghanistan,Jamaica,visa required
Afghanistan,Japan,visa required
Afghanistan,Jordan,visa required
Afghanistan,Kazakhstan,visa required
Afghanistan,Kenya,visa required
Afghanistan,Kiribati,visa required
Afghanistan,Kosovo,visa required
Afghanistan,Kuwait,visa required
Afghanistan,Kyrgyzstan,e-visa
Afghanistan,Laos,visa required
Afghanistan,Latvia,visa required
Afghanistan,Lebanon,visa required
Afghanistan,Lesotho,e-visa
Afghanistan,Liberia,visa required
Afghanistan,Libya,visa required
Afghanistan,Liechtenstein,visa required
Afghanistan,Lithuania,visa required
Afghanistan,Luxembourg,visa required
Afghanistan,Macao,visa required
Afghanistan,Madagascar,visa on arrival
Afghanistan,Malawi,e-visa
Afghanistan,Malaysia,visa required
Afghanistan,Maldives,visa required
Afghanistan,Mali,visa required
Afghanistan,Malta,visa required
Afghanistan,Marshall Islands,visa required
Afghanistan,Mauritania,visa on arrival
Afghanistan,Mauritius,visa required
Afghanistan,Mexico,visa required
Afghanistan,Micronesia,30
Afghanistan,Moldova,e-visa
Afghanistan,Monaco,visa required
Afghanistan,Mongolia,visa required
Afghanistan,Montenegro,visa required
Afghanistan,Morocco,visa required
Afghanistan,Mozambique,visa on arrival
Afghanistan,Myanmar,visa required
Afghanistan,Namibia,visa required
Afghanistan,Nauru,visa required
Afghanistan,Nepal,visa required
Afghanistan,Netherlands,visa required
Afghanistan,New Zealand,visa required
Afghanistan,Nicaragua,visa required
Afghanistan,Niger,visa required
Afghanistan,Nigeria,visa on arrival
Afghanistan,North Korea,visa required
Afghanistan,North Macedonia,visa required
